
ABACUS,주판
LACERATE,"찢다; 깊은 상처를 주다, 괴롭히다"
FAZED,당황한
DEVIOUS,"부정한 방법을 쓰는; 돌아가는, 우회하는"
CEDE ,"포기하다, 양도하다, 할양하다"
BAWDY,"외설스런, 음탕한"
GROVE,"작은 숲, 과수원"
PROLIFIC,다산의; 비옥한; 다작의
VINDICATE,옹호하다
SORDID,"추잡스런, 더러운, 비열한"
QUAFF,벌컥벌컥 마시다
DISCLOSURE,폭로
IMPOLITIC,"지각 없는, 무분별한, 현명치 못한"
RESPLENDENT,"화려한, 눈부신"
INCONSISTENT,일치하지 않는; 일관성없는; 모순적인
ZEALOT,"광신도,열광자"
EXTEND,"확장하다, (범위, 정도) 넓히다"
TURGID,"과장된, 허풍 떠는; 부푼, 팽창한, 부어오른"
FLIPPANT,"경박한, 성의 없는, 무례한"
DEJECT,낙담시키다
CONVENTIONAL,"틀에박힌, 진부한, 평범한; 전통적인"
AQUIFER,"대수층,지하수를 내장한 침투성 지층"
ENHEARTEN,용기를 북돋우다
AGGRANDIZE,"(권력,힘,지위,재산,명성 등) 증대시키다"
VILE,"사악한, 부도덕한, 불쾌한"
CLEMENCY,"자비, 관대함"
RECESSION,"경기침체기, 쇠퇴"
PINION,"손발을 묶다,구속/속박하다"
ASTRINGENT,"수렴제;신랄한,(맛,냄새)신,떫은"
INEXPUNGIBLE,지울 수 없는
MINT,"대량, 다량; 화폐주조 소, 조폐국"
PENCHANT,"강한 기호,경향,좋아함"
INDECOROUS,"예의 없는, 무례한"
CONGREGATE,모이다
HALFHEARTED,"열성이 없는, 내키지 않는"
GRANDILOQUENT,"과장된, 허풍떠는"
VEHEMENT,"격렬한, 열정적인"
FLOAT,부유하다
DISABUSE,"(그릇된 생각) 바로잡다, (오해) 풀어주다"
FIREFLY,반딧불이
EXCULPATE,"협의를 벗겨주다, 무죄로 하다"
INFUSE,"가득 채우다, 주입하다"
EPIC,"서사시; 서사시적인, 웅장한, 대규모의"
RUDIMENTARY,"미발달의, 미성숙의;기본적인"
TEMPORIZE,"우물쭈물하다,미적지근한 태도를 취하다,결단을 내리지 않다;대세에 따르다"
SUNDER,분리하다 절단하다
TONG,"집게,집게로 잡다"
THUNDEROUS,"우레 같은, 열렬한, 강렬한"
COTERIE,배타적인 (같은 취미를 가진)집단
INTIMIDATE,위협하다
IRASCIBLE,화 잘 내는
EXHAUSTIVE,포괄적인; 철저한
MINUTIA,작고 사소한 세부사항
STURDY,튼튼한
SATIETY,포만상태
WINNOW,"키질하다,까부르다,키질하여(왕겨 등을) 제거하다"
MELLIFLUOUS,"(소리, 말)감미로운"
TOLERANT,"자신과 다른 의견이나 행동양식을 인정해 주는;관대한,인내해주는"
HOLLOW,"텅 빈, 내용 없는"
INALIENABLE,"떼어놓을 수 없는, 소외시킬수 없는; 양도할 수 없는"
CONVERSANT,정통한
INNATE,"타고난, 자연스런"
MATCHLESS,"적수가 없는, 대단한"
STIGMATIZE,낙인을 찍다; 비난하다; 오명을 씌우다
OSTENSIBLE,"표면상의,겉보기만의;명백한,명료한"
DRONE,단조롭게 말하다
PROHIBITIVE,"(가격) 지나치게 비싼; 금지하는, 제한하는"
ZONE,지역을 분할하다
SIMULATION,"모조품, 가짜; ~인체하기"
VALORIZE,"정가를 정하다, 시가를 유지하다"
STODGY,"칙칙한, 재미없는; 매우 보수적인"
ABSTAIN,"(음식,음주) 감가다, 절제하다"
FLATTER,"추켜세우다, 알랑거리다, (찬사 등으로) 기쁘게 하다"
PROPITIOUS,유리한
INCOMBUSTIBLE,불연성의
SATIATE,"충분히 만족시키다,물리게 하다"
SPURN,"경멸하다, 딱 거절하다"
SYNERGY,"공동작업, 협동, 협력작용"
DISAVOW,"부인하다, 거부하다, 의절하다"
COMPLACENCE,자기만족
SULLEN,"성질 더러운, 토라진, 뚱한"
RESONANT,"낭랑하게 울리는, 공명하는"
EXTRICATE,"(위험, 곤란에서) 벗어나게 하다, 구해내다, 빼내주다"
TEEM,가득하다
UNMITIGATED,완화되지 않은
TEDIOUS,"지루한, 재미없는"
RESPIRE,호흡하다
EIDETIC,"선명한, 생생한"
PANDEMIC,(병이) 전국이나 전세계적으로 퍼지는;그런 전염병
SURMOUNT,극복하다
PANORAMA,전경
REDOUBTABLE,(적)두렵고 존경스러운;가공할만한
RURAL,"시골의, 전원의"
BETTER,향상시키다; 더 나은
QUATRAIN,4행으로 이루어진 연
OBSOLESCENCE,"쇠퇴함,퇴행"
PALTRY,"시시한,양이 적어서 하찮은"
INCLEMENT,"(날씨)혹독한, 궂은"
EXCISE,"잘라내다, 삭제하다"
VOLUME,(정기간행물의) 책 권; 소리의 크기; 부피
FAVOR,"편애하다, 지지하다, 유리하다"
MEAGER,"부족한, 빈약한"
TRENCHANT,"(표현이)신랄한, 날카로운; 명쾌한, 효과적인"
QUELL,진압하다
YOKEL,"시골뜨기, 촌뜨기"
VARIEGATION,얼룩덜룩한
FORMULAIC,"도식적인, 공식에만 따른"
CONTEMPT,"경멸, 멸시"
LOCOMOTIVE,기관차
FROWARD,"다루기 힘든, 완고한"
SCRIMP,"매우 아끼다, 인색하게 굴다"
PENETRATE,"관통하다, 꿰뚫다; (사실, 진리) 간파하다, 통찰하다, 이해하다"
MINESHAFT,탄광의 갱도
SUBSIDIZE,보조금을 지급하며 돕다
EXECRABLE,"혐오스러운, 형편없는"
INFRANGIBLE," 부서지지 않는; 위반해서는 안되는, 불가침의"
BOMBASTIC,허풍 떠는
INGENUOUS,"순진한, 솔직한"
OUTMODED,구식의
CATEGORICAL,절대적인
TOURNIQUET,지혈장치; 지혈용압박대
DETOUR,우회하다
GRIPE,(사소한 일에) 불평하다
REEL,"(낚시, 영화 필름 등) 감는 틀, 릴;감아들이다;비틀거리다"
HEROIC,"영웅적인, 용감한"
RETORT,"(말)(빠르고 재치 있게, 신랄하게)되받아 치다, 응수하다"
ELEGY,"애시,애가"
FOLLY,"어리석음, 우둔"
SUPERFICIAL,"피상적인, 깊이가 없는"
BARRACKS,"군인들의 막사,병영,숙사"
DIKE,제방
ARCANE,"불가사의한,신비한"
GLUT,"과도,과다"
BREEZEWAY,(집과 차고 등을 연결하는) 지붕과 기둥만 있는 통로
RIVE,"찢다, 찢어발기다"
BALK,"주저하다,갑자기 서서 나아가지 않다;방해하다,막다,좌절시키다"
ALLUDE,"넌지시 말하다,암시하다"
DWINDLE,점차 줄어들다
LEVITY,"경솔함, 변덕, 경박함"
OPPROBRIUM,"불명예, 비난"
SUCCULENT,"과즙이 많은, 맛있는"
ETYMOLOGY,"어원, 어원 학"
PEREMPTORY,"단호한,지엄한;위압적인,독단적인"
ASUNDER,분리된;나누어진
EVINCE,"분명히 나타내다, 명시하다"
