
ABACUS,주판
REMUNERATE,"보답하다, 보수를 지불하다"
DELECTABLE ,"맛있는; 매우 아름다운, 매력적인"
ADULTERATE,"불순물을 섞다,(불순물을 섞어)순도/품질을 떨어뜨리다"
BUNGALOW,벙갈로
RESIDUAL,나머지의
BOOR,무례한 사람
TOPSY-TURVY,"거꾸로, 머리를 아래로; 뒤죽박죽"
VAULT,은행금고
LOG,여행의 기록;운항일지
BARREN,"열매 맺지 않는,수확이 없는"
DEPLETE,고갈시키다
CONFINE,"제한하다, 가두다"
MELODIOUS,듣기 좋은
IMPRESSIONABLE,(비판력 부족으로) 쉽게 영향을 받는; 감수성이 예민한
DOCTRINE,"정설, 원칙"
DRENCH,흠뻑 적시다
INFLEXIBLE,마음을 바꾸지 않는; 융통성이 없는; 휘지않는
FLUVIAL,강(江)의
EXCERPT,"발췌, 초록, 인용구; 발췌하다,초록하다,인용하다"
BATCH,"(과자) 한번 구워내는 양, 한다발, 한무리"
DEMYSTIFY,명확하게 설명하다
AUDACIOUS,"대담한,호기로운,무모한"
PRIMEVAL,원시시대의
APPEAL,"상소,항고"
METAPHORIC(AL),"은유의, 은유적인"
TRUNCATE,길이를 줄이다
IMPERCEPTIBLE,"지각/감지할 수 없는, 미세한, 경미한"
ENCUMBER,"짐 지우다;막다, 방해하다"
AFFRONT,(면전에서) 모욕(하다)
ANTIDOTE,해독제
METEORIC,유성같이 빠른
REPUGNANCE,"싫어하기, 반감, 적대감; 일관성없음"
DOWNPLAY,"얕보다, 중시하지 않다"
PUNCTILIOUS,"세심한, 꼼꼼한"
DOGGEREL,엉터리 시
VORACIOUS,"식욕이 왕성한,게걸스러운"
BLATANT,"뻔한, 몹시 떠들썩한; 야단 법석의"
AFFECTATION,"가장,꾸미는 태도,허세 부림"
INDEFATIGABLE,지치지 않는
PLAUDIT,"박수, 갈채, 찬양"
BROADEN,"확장시키다, 확장되다"
KUDOS,"영광, 명성; 찬양"
NITPICK,트집잡다
PEP,"활기,원기,활력"
TERSE,간결한
SAFEGUARD,"보호수단, 보호"
PRECEDENT,선례
STABLE,"흔들리지 않는, 안정된"
SCHISM,"(교회) 분열, 분파"
QUANDARY,"난처함, 궁지"
MODICUM,소량
PARIAH,"사회적으로 경멸 받고 따돌림 당하는 사람,추방자"
COSMETIC,"피상적인, 표면적인"
SOUNDPROOF,방음의
INEPT,서투른
NEGLIGENT,태만한;적절한 주의를 기울이지 못하는
PROPAGATE,"번식/증식 시키다, 보급하다, 전파하다"
SCANT,"적은, 불충분한; (공급, 수량) 줄이다"
MINDFUL,"인식하는, 알고 있는"
ADVOCATE,"지지하다,옹호하다"
CALIBRATE,"눈금을 매기다, 눈금을 정확히 조정하다"
NERVY,"건방진,뻔뻔스런"
DEROGATE,"비하하다, 격하시키다"
AGHAST,"아연한, 대경실색한"
FLIMSY,"부서기기 쉬운, 무른, 약한; (주장)설득력이 없는"
TUMULTUOUS,요동하는
EXULTANT,뛸 뜻이 기뻐하는
SHIRK,회피하다; 회피하는 사람
MYRIAD,"수많은,다수"
ENGROSSED,몰두한
FETTER,"족쇄를 채우다, 구속하다"
SPECULATIVE,추측에 의한
GENTEEL,"품위있는, 우아한, 점잔빼는"
CORPOREAL,"육체적인, 물질적인"
DISCOMPOSE,"마음을 불안케 하다, 마음의 평정을 빼앗다"
DISPLEASANT,불쾌감을 주는
INTRICATE,"복잡한, 얽힌"
GRAVELLY,"자갈 같은, 자갈소리가나는, 귀에 거슬리는"
ABANDON,"(감정,충동에) 사로잡히다; 방종"
RECTITUDE,"(행동)정의로움, 옮음, 정직"
BANE,고통의 근원;맹독
POROUS,"다공성의, (기체, 액체) 쉽게 통과하는; 침투하기 쉬운"
DISTRACT,집중하지 못하게 하다
BUSTLE,"활기, 붐빔, 소란스러움; 활기차게 돌아다니다, 부산스럽게 돌아다니다"
GOSSAMER,"매우 얇은, 섬세한"
HISTRIONIC,"배우의, 연기의; 지나치게 감정적인"
GIBE,조롱(하다)
OBEISANT,정중한
AGOG,"(~하고 싶어) 못 견디는,흥분한"
ADUMBRATE,"어렴풋이 예시하다,희미한 모습을 그리다"
HARASS,괴롭히다
ALIENATE,"멀리하다,사귀지 않다,소외시키다;양도하다"
CODDLE,"관대하게 하다, 너그럽게 대하다"
INTERPOSE,삽입시키다; 양자 사이에 개입하다
INCONCLUSIVE,결정적이지 않은
FROTHY,"거품같은; (태도, 내용) 가벼운, 경박한"
CELERITY,신속함
UNDESERVED,"당연하지 않은, 정당하지 않은"
DISMAY,"쩔쩔매게 하다, 용기(열정)를 잃게하다; 놀라게 하다"
SQUEAMISH,비위가 약한
GREEN,"경험이 없는, 미숙한, 초목이 우거진"
STENCH,악취
NONCONFORMITY,"(표준,전통,규칙,법률 등)따르지 않음,불순응,불일치"
FILCH,훔치다
CAUSTIC,신랄한
EVERYDAY,일상적인
PRISTINE,"원래 그대로의, 오염되지 않은, 깨끗한"
LAG,"꾸물거리다, 처지다"
MENDACIOUS,거짓말하는
CREEP,"살금살금 걷다, 기다; 기기"
COPIOUS,"풍부한, 많은"
REFULGENT,"밝게 빛나는, 환희 빛나는"
TURBULENT,무질서하고 혼란스러운
FOMENT,"선동하다, 자극하다"
FLUX,"흐름, 끝없는 변동"
BEDLAM,"소란스러운 곳; 대소동, 혼란"
DEIFICATION,"신성화, 신격화"
IMPERIOUS,"오만한, 고압적인"
ROCOCO,"매우 화려한, 꾸밈이 많은"
EXEMPLAR,"전형, 모범"
ABSTEMIOUS,"(음식,음주) 삼가는,절제하는"
MISCELLANEOUS,갖가지 잡다한;잡동사니의
DIGIT,손가락 또는 발가락
CAROUSE,흥청대며 마시다
SHAM,"가짜의, 모조의; 모조품, 가짜"
HERMITAGE,은둔장소; 세상과 분리되어 살 수 있는 곳
SIDEREAL,"별의, 항성의"
IRRELEVANT,관련 없는
TREMULOUS,"(손발)떨리는; 겁 많은, 소심한"
WIDTH,폭
IMPASSIVE,"무정한, 비정한, 무표정한"
REIN,"억제하다, 멈추다"
PARSIMONIOUS,인색한
QUIESCENCE,"활동 없음, 조용"
METTLE,"용기, 원기, 기개"
LESSEN,"줄이다, 줄어들다"
SANCTUM,"신성한 장소, 성소; (간접이 없는) 사실(私室)"
WANE,"작아지다,약해지다,달이 기울다"
DISSECT,(표본)해부하다
TEAR,"찢다, 분리하다; 화급하게 움직이다, 돌진하다"
FATIGUE,극도의 피로
HARDY,"튼튼한, 억센, 대담한, 용감한"
IMMODERATE,"절도를 잃은, 과도한, 극단적인"
SLANT,"기울다, 기울어지게 하다; 왜곡하다, 편향된 시각을 보여주다"
LACONIC,"간결한, 과묵한, 무뚝뚝한"
DISPARATE,본직적으로 다른
PROVIDENT,미래를 대비하여 신중한; 검소한
MALAISE,"초조, 불안, 불편, 불쾌"
FALLACY,"잘못된 생각, 그릇된 논리, 궤변"
GIBBERISH,"이해할 수 없는 헛소리, 너무 전문적이어서 난해한 말, 쓸데없이 허황되고 모호한 말"
ANOMALOUS,"변칙적인,비정상의,특이한 "
PERFUNCTORY,성의 없이 되어진
FECKLESS,"무기력한, 무책임한"
PUNY,작고 약한
PANTRY,"(식료품,식기) 보관실"
CASCADE,"폭포처럼 떨어지다, 작은 폭포"
EPITOMIZE,요약하다; 완벽한 예가 된다
PEEP,"(새 새끼,쥐)짧고,부드럽고,높은 음(을 내다)"
BANISTER,(계단 옆)난간
IRE,"화, 분노; 화나게 하다"
STOPGAP,임시변통
DITCH,"수로, 도랑, 배수구"
FACET,"사물의 한 면상, 특성; (보석 등) 마면, 평면"
PERFORATE,구멍 뚫다
RAMBUNCTIOUS,"떠들석한, 사납게 날뛰는"
ABASH,"당황하게 하다, 부끄럽게 하다"
GARBLE,"왜곡하다, 혼동하다"
INTERLOPER,"남의 일에 참견하는 사람; (남의 영역, 상황, 활동에) 끼어드는 사람"
ENERVATE,약화시키다
TINCTURE,염료
WARY,"조심하는, 주의하는"
BERATE,호되게 꾸짖다
TRANSITORY,"영원하지 않은, 일시적인"
EXALT,"칭송하다, 높이다; 고상하게 하다"
UNCANNY,"신비, 이상한 보통 아닌"
NASCENT,지금 막 생겨난
DESPONDENT,"낙심한, 풀죽은"
NICE,"철저한,꼼꼼한,정확한"
DEMOLISH,파괴하다
BENEDICTION,"축복, 축도"
DISCRETIONARY,재량껏 할 수 있는
TAUNT,"자극하다,조롱하다"
CONSUMING,(느낌) 절실히 느껴지는
CONVOLUTED,"복잡한, 난해한"
AMORPHOUS,"(형태,정의가) 불명확한"
THERAPEUTIC,치유하는
OBSTINATE,"완고한,완강한"
DISSEMBLE,가장하다
CISTERN,물탱크
RELUCTANT,내키지 않는
UNORTHODOX,이단적인
IMPUDENT,"무례한, 불손한, 건방진"
JEJUNE,"순진한, 피상적인; 재미없는"
INSENTIENT,"무감각한, 비정한, 생명 없는"
CONVIVIAL,"연회를 좋아하는, 명랑한, 우호적인"
DISSENT,"의견을 달리하다, 동의하지 않다"
UNASSAILABLE,"공격할 수 없는, 논박할 수 없는"
DEBASE,"(질, 가치) 저하시키다."
HOIST,들어올리다
BUDGE,살짝 움직이다; 의견을 바꾸다
TEMPSETUOUS,폭풍우치는; 격정적인
ENCOMIAST,칭송하는 자
SUBTERFUGE,"핑계, 구설, 속임수"
ENCOMIUM,"찬사, 칭찬하는 말"
AVERSION,혐오감
CONCISE,간략한
INTEGRITY,"정직, 청렴; 흠없는 상태, 보전"
FIRM,"(태도, 마음) 확고한, 굳은"
DISJUNCTIVE,"연관성이 결여된, 분리하는, 분리성의"
CALLOW,"미성숙한, 경험이 없는"
REPTILE,파충류
ANATHEMA,"저주, 증오; (가톨릭) 파문, 이단배척"
ERR,틀리다; 실수하다
SCRUTINY,정밀조사
FUSTIAN,과장되고 허풍 떠는 (말이나 글)
INDIGENT,"궁핍한, (생필품) 결핍된"
ELABORATE,"복잡한, 정교한"
ELLIPTICAL,"생략적인;(의미)지나치게 생략된, 모호한"
SLAKE,"갈증을 해소하다, 만족시키다"
QUERY,질문하다
IMBUE,(생각)주입시키다; 스며들게 하다; (색깔)물들이다
DELUGE,"큰물, 대홍수"
GRATIFY,만족시키다
DODDER,"(나이 들어서)비틀거리다, 비틀거리며 걷다"
LATENT,잠재성의
BREVITY,간결함
WIT,재치;지혜가 있는 사람
ROBUST,"건강한, 건장한"
ABSURD,"비상식적인, 터무니없는"
PROFUSE,"많은, 풍부한; 낭비하는"
LETTERED,"박식한, 교육받은"
DEMORALIZE,사기를 꺾다
PAN,심하게 비난하다
CEMENT ,"시멘트로 결합시키다, 접합시키다"
PAINSTAKING,"애쓰는,수고를 아끼지 않는,면밀한,철저한"
MEASLY,(양)아주 조금인
PIETY,경건함
EXUDE,"스며 나오게 하다, 발산시키다"
MOROSENESS,시무룩하고 언짢은 상태
STALWART,"충성된, 튼튼한, 건장한; 충성된 사람, 튼튼한/건장한 사람"
PEEL ,껍질
PREEN,"치장하다, 자기만족을 드러내다"
BLANKET,"담요로 덮다, 전면을 덮다"
SERRATION,톱니모양
MUTATE,"변화하다,변화시키다"
PACIFY,"달래다,진정시키다"
LIBERTINE,난봉꾼
GAFFE,"(사교상)실수, 결례"
SMOTHER,"(덮어서) 질식시키다, 불을 끄다; (감정, 행동) 억제하다"
TEMPORARY,"중간의, 잠시의"
PROMULGATE,"공표하다, 선전하다"
PENURIOUS,몹시 가난한;인색한
PLUMB,면밀히 조사하다
EPONYMOUS,-의 이름을 딴
SNEER,"비웃다, 조롱하다, 조소하다"
WATT,전력의 단위
ENDOW,"기부하다;주다, 부여하다"
HOARY,"백발의, 나이든; 오래된, 진부한"
CRAVEN,비겁한; 비겁한 사람
SOAK,흠뻑적시다
HANKERING,"갈망하는, 갈망"
SLACKEN,"느슨하게 만들다, 느슨해지다"
PLAYBILL,(배역이 소개된) 연극프로그램
SYNOPSIS,"요약, 개요"
SAGA,"무용담, 영웅이야기"
UNWITTING,"무의식적인, 고의적이 아닌"
MUNDANE,"평범한,흔한;세속적인"
CAGEY,신중한
CARPENTRY,목수일
GROUNDLESS,근거 없는
PROFICIENT,"능란한, 솜씨좋은"
DAPPER,말끔한
UNDERHANDED,"정당하지 못한, 은밀한, 불공정한"
SEQUENTIAL,순차적인
IDIOSYNCRASY,특유의 성질
BEDECKED,"치장된, 장식된"
INCOMPREHENSIBLE,이해할 수 없는
THWART,"막다, 좌절시키다"
PARSE,문장을 분석하다
DOMINEERING,"오만한, 폭군적인"
TANTAMOUNT,"비슷한, 동등한"
RACONTEUR,이야기를 재미있게 잘하는 사람
FLOUNDER,"간신히 나아가다, 버둥거리다, 몸부림치다"
STRINGENT,"엄격한, 엄한"
RIGID,"휘지 않는, 융통성 없는"
VOUCHSAFE,"하사하다,(아랫사람에게)주다"
CRESTFALLEN,풀 죽은
FABRICATE,"만들어내다, 꾸며내다; 제조하다, 조립하다"
PRUDENT,(미래를 대비해서) 신중한
INTRACTABLE,"유순하지 않는, 다루기 힘든, 고집 센"
TONGUE-TIED,(당황하여)말문이 막힌
DISPOSITION,기질
ACCRETE,점진적으로 증가하다
GALL,화나게 하다
MALEVOLENT,"악의적인, 사악한"
BEFITTING,"안성맞춤의, 적합한"
EQUITABLE,"공정한, 공평한"
MEDDLE,참견하다
POMP,"장환, 화려; 위엄의 과시, 거만한 행동"
VITAL,매우 중요한; 활기 넘치는
SQUASH,"진압하다, 억압하다"
BARB,신랄한 비난
NEGOTIATE,협상하다
PLAZA,"광장, 시장"
SHACKLE,족쇄를 채우다
PIQUANT,"자극적이고 맛있는;(분위기,태도) 자극적 이로 적극적인"
JAUNDICE,편파적으로 대하다
EFFACE,"삭제하다, 지워 없애다;눈에 띄지 않게 행동하다"
QUALIFY,"(예외를 두어서) 제한하다, 한정하다"
POLEMICAL,논쟁을 일으키는
SKIRT,"가장자리에 있다, 인색하게 굴다"
LIKE-MINDED,취향이나 의견이 비슷한
ABSORB,흡수하다
SWILL,벌컥벌컥 마시다; 물을 넘치게 붓다
VERSEMONGER,진부한 시를 쓰는 시인
PHLEGMATIC,"점액질의,침착한;무감정의,느린"
CAMARADERIE,"우정, 동지애"
DENOUEMENT,대단원
YIELDING,고분고분한
SLIPSHOD,"칠칠치 못한, 대충하는; 단정하지 못한, 닳아빠진 옷이나 신발을 신은"
CONCERTED,협동/협의에 의한
RETINUE,수행원단
DENSENESS,조밀함
TAME,"길들여진; 길들이다, 무기력하게 만들다"
IMPORTUNE,성가시게 졸라대다
FINCH,되새류과의 새
AGGRIEVE,"괴롭히다,고통을 주다"
HOVER,(한군데서)배회하다; (공중에)떠있다
RECANT,(주장)철회하다;(믿음)부정하다
JITTERY,"신경질적인, 초조해하는"
FRIABLE,쉽게 부서지는
DUPLICITY,"속이는 행위, 표리부동"
UNDETERRED,"풀 죽지 않은, 단념하지 않은"
TENDER,"제공하다, 입찰하다"
FRETFUL,"안달하는, 초조해하는, 화내는, 언짢아하는"
WHIMSICAL,변덕스런
QUALM,"불안, 걱정, 불편한 마음; 양심의 가책"
OFFBEAT,색다른
MITE,"작은 동물, 어린이; 작지만 정성어린 기부금"
PULCHRITUDE,아름다움
ACCOST,"다가가서 (당돌하게,공격적으로) 말 걸다"
CATALYZE,"촉매작용하다, 촉진시키다"
SATURATED,"흠뻑 젖은, 포화상태의"
PLACATE,달래다
DISCORDANT,"불협화음의, 조화를 이루지 못하는"
UNSCRUPULOUS,"비양심의, 정직하지 않은, 공정하지 안은"
SQUABBLE,사소한 말다툼
LUG,(짐)힘들여 끌다
SEEMLY,"예절을 지키는, (행동) 적절한"
CELEBRATION,"찬양,칭송,축하; 축하행사, 축하회"
AMENABLE,"잘 따르는,순종적인"
DENUDE,벌거벗기다
OBVIOUS,명백한
EPILOGUE,"끝맺음말, 에필로그"
REMINISCE,회상하다
SCHEME,"음모,모의;음모를 꾸미다"
MAUDLIN,"지나치게 감상적인, 취하면 우는"
IMMURE,"감금하다, 가두다"
CACKLE,"(닭, 오리)꼬꼬댁 울다; 낄낄대며 웃다, 목소리 찢어지게 웃다"
PREFERENCE,"애호, 좋아함"
UNSUBSTANTIAL,"현실적이지 않은, 실체가 없는; 허약한"
SLUMP,침체기에 빠지다
RAMPANT,"(나쁜 것, 불쾌한 것) 만연하는, 횡행하는; (사람, 행동) 사나운, 미쳐 날뛰는"
GRUFF,"퉁명스런, (목소리)거친, 쉰"
OBSTRUCTIONIST,(입법행위)의사방해자
CURMUDGEON,심술궂은 사람
ATROCIOUS,"극악무도한,아주 나쁜,매우 잔인한"
INSULAR,"섬의, 고립된, 편협한"
SALLY,"반격,돌격(하다)"
SPATE,많은 양
LIMERICK,5행 희시
FIR,전나무
TACIT,암묵적인
EXCORIATE,심하게 비난하다
BALLAST,배의 무게중심
PLACEBO,위약
DRIVEL,허튼 소리
COMMONPLACE,"진부한, 진부한 문구"
NUMBERLESS,셀 수 없이 많은
REGRESSION,"회귀, 복귀"
MULISH,고집스런
FLAGRANT,"극악한, 악명 높은"
SYNCHRONOUS,동시발생의
SYCOPHANT,아첨꾼
OSCILLATE,"진동하다,주저하다,흔들리다"
PARODY,"패러디,풍자적 모방(희화화)"
BARK,나무껍질
TERRIFY,극독의 두려움을 느끼게 하다
CULPABLE,"과실이 있는, 비난 받을만한"
TRANQUILITY,"고요, 평안"
VULGAR,저속한
RAUCOUS,"(소리) 거슬리는, 불쾌한"
HAM-HANDED,"서투른,실수하는"
EULOGY,"칭송, 찬양, 송덕문"
TRAIL,(흔적을)따라가다
ONEROUS,"힘든,성가신,귀찮은"
LAPSE,"일시적인 쇠퇴, 일탈; 잘못, 과실; (시간의) 경과, 기간"
SCUFF,(딱딱한 것에 긁혀) 흠을 내다
HARBOR,"피난처를 제공하다, 숨겨주다"
APPLAUD,박수갈채를 보내다
OSTRACIZE,추방하다
TOUCHY,지나치게 민감하게 구는
SCRIPT,"(연극, 영화) 대본"
INIMICAL,"해로운, 적대적인"
SAGACIOUS,"현명한, 기민한"
TACITURN,과묵한
QUAGMIRE,"진흙탕; 어렵고 복잡한 상황, 궁지, 수렁"
STOIC,고통을 참고 내색하지 않는; 감정을 드러내지 않는
SACRILEGIOUS,신성을 더럽히는
GLEE,큰 기쁨
FRILL,"허식, 장식"
PARAMOUNT,"가장 중요한,최고의"
IMPREGNABLE,난공불락의
ELIMINATE,제거하다
SELF-ABASEMENT,자기비하
SKULK,살금살금 움직이다
DEMUR,반대하다; 주저하기
ADULATE,심하게 아부하다
DESULTORY,"계획 없는, 목적 없는"
LIKEN,"비유하다, 비견하다"
STARRY-EYED,"순진하게 열정적이고 이상적인; 비현실적인, 이상적인"
JOURNAL,"일기, 일지; 신문, 잡지"
ACCEDE,동의하다
SOPHOMORIC,아는 척하지만 아직 미성숙한
NULLIFY,무효화하다
SUMPTUOUS,"호화로운, 사치스러운, 비싸보이는"
TYPO,오타
TEPID,"미지근한, 열정이 거의 없는"
CONNIVE,공모하다
FORD,"(강) 얖은 곳, 여울"
IMMUNE,면역의; 면제된
PRIGGISH,지나치게 꼼꼼하고 도덕군자인 척하는 
TENABLE,"(반대,공격)방어할 수 있는, 견뎌내는"
SYMBIOSIS,공생
FRECKLE,"주근깨, 기미"
EMANATE,발산하다
BALLAD,"담시,노래"
INDEMONSTRABLE,증명할 수 없는
COMPENDIOUS,"요점을 잘 잡은, 간결한"
UNEQUIVOCAL,"애매하지 않은, 명확한"
PARRY,공격을 피하다;대답을 회피하다
STASIS,"정지상태, 균형상태"
TRANSLUCENT,"반투명인; 명쾌한; 맑은, 투명한"
DETERRENCE,단념시키는 것
DUCTILE,"순종적인;(금속)두드려 변형시킬 수 있는, 가소성의"
DETERMINISTIC,"결정론의, 결정론적인"
ABATE,"(정도,세기,수량 등) 줄이다,감소시키다"
LARIAT,"(가축을 말뚝에 매는) 밧줄, 올가미"
SEMBLANCE,"유사, 비슷한 것"
UNSEEMLY,(행동)적절하지 않은
UNENCUMBERED,"방해받지 않은, 방해가 되는 것을 가지지 않은"
MIND,꺼리다;복종하다
TRAVAIL,"힘들게 일하다, 수고하다"
TANGIBLE,"만질 수 있는, 현실적인, 구체적인"
IMPRUDENT,"신중하지 못한, 경솔한, 무분별한"
INEDIBLE,먹을 수 없는
FRAGRANT,향기로운
ATTENUATE,"가늘게 하다,약화시키다"
MUSICIAN,음악가;악기연주자
ELEMENTARY,"초보적인,유치한; 단순한"
SEQUENT,"추후의, 나중의"
PROMINENCE,"명성, 중요함"
WASP,성미가 급하고 화 잘 내는 사람
UPBRAID,"(몹시) 나무라다, 비난하다"
SOLVENT,"지급 능력이 있는; 녹이는, 용해력있는"
CAPRICIOUS,변덕스러운
CARETAKER,임시로 직무를 맡은; 임시로 직무를 맡은 사람
PERPETUAL,영원한
"TENDENCIOUS or
 TENDENTIOUS",편향적인
RIBALD,"무례한, 음담패설을 해대는"
BUBBLE,"엉터리짓하다, 비틀거리다"
INFILTRATE,잠입하다
TELLING,"효과적인, 의미 있는, 설득력 있는"
PLOT,"음모; (극, 이야기) 구성, 플롯"
HALLUCINATION,환각
RIFE,"가득한, 퍼져있는, 유행하는"
ADHERENT,"지지자,추종자"
REPROOF,"질책, 비난"
IMPERMEABLE,불침투성의
REVEL,"매우 기뻐하다, 즐거워하다, 마시고 흥청거리다"
VALOROUS,용감한
WARRANT,정식으로 인가하다;정당화하다
MALADROIT,"솜씨 없는, 서투른"
DISTEND,부풀게 하다
EXTOL,극찬하다
FRENETIC,"광란의, 지나치게 열광적인"
ENRAPTURED,기뻐서 어쩔 줄 모르는
DOSE,일회복용량
HARMONY,"화음, 조화"
TERRESTRIAL,"지구의, 세속적인, 땅의"
RESURGENCE,"소생, 부활, 되살아남"
PRETENTIOUS,"허세부리는, 과시하는"
DISINFECT,살균 소독하다
CAMOUFLAGE,"위장, 속임"
PROBITY,"정직, 청렴"
IGNOMINY,"불명예, 치욕, 굴욕"
PERCEIVE,"인식하다,이해하다"
INELUCTABLE,피할 수 없는
DEMOGRAPHY,"인구학, 인구구성"
UNBUTTONED,단추가 풀린
BETRAY,"배신하다, 배반하다; 은연중에 드러내다"
AMALGAMATE,"혼합시키다,융합시키다"
CONSOLIDATE,"굳건하게 하다, 합병하다"
INDICT,기소하다
NADIR,"천저,밑바닥,절망상태"
EXPONENT,지지자
INTERMINABLE,끝없는
IMMINENT,임박한
ADAMANT,단호한
MEDIATE,"(평화,협정)성립시키다, (논쟁,쟁의)조정하다, 중재하다"
FATUOUS,"어리석은, 바보 같은"
VAGABOND,방랑하는; 방랑자
HAMSTRING,"무력화하다,좌절시키다,다리를 절게하다"
STRICTURE,비난; (행동)제약
TRIAL,"(사실,법률 문제의)심리, 재판, 공판(절차)"
MELANCHOLY,"우울한,울적한;우울,침울"
FOCUS,중심으로 모이다
CREDIBLE,믿을만한
SUBMISSIVE,"순종하는, 순응하는"
ESCALATE,"증대시키다, 고조되다"
INFECUND,"생산성이 없는, 아이를 낳을 수 없는"
PATRONIZE,"후원하다;우월하게 행동하다,생색내다"
GAUDY,"(옷,장식)지나치게 화려한, 야한"
ERRATIC,"변덕스런, 일정하지 않은;비정상적인"
MISFORTUNE,불운;불행한 일
DEBUT,"(경력의)처음시작, 데뷔"
MEASURED,정확히 측정한;신중한
LACHRYMOSE,눈물이 가득한; 눈물 나게 하는
POLARITY,양극성
CURTAIL,"단축하다, 줄이다;(비용) 절감하다"
BAREFACED,뻔뻔스런;숨김없는
TOIL,"애쓰다, 열심히 일하다"
BUTTRESS,"부벽; 지지자, 후원; 지탱하다"
RETALIATE,"(같은 수단으로)보복하다, 복수하다, 앙갚음하다"
EQUIVOCATE,애매하게 둘러대다
CONVOKE,소집하다
OBSERVABLE,"관찰할 수 있는,주목할 만한"
INSCRUTABLE,"불가사의한, 난해한"
FOE,"적, 원수"
DEMURE,"얌전한, 조신한"
RAPPORT,"(관계) 조화로움, 친근함"
FORMIDABLE,"겁먹게 하는, 위협적인, 경외감을 갖게 하는"
SACROSANCT,신성불가침의
AGONIZE,"(심적으로) 괴로워하다,번민하다;괴롭히다"
INGRAINED,"(기질, 습관) 뿌리깊은, 깊이 박힌"
FURROW,"홈을 파다; 골, 밭고랑"
DOZE,선잠 들다
UNINTELLIGIBLE,이해할 수 없는
RESCIND,"폐지, 폐기, 철회하다"
BRAZEN,"파렴치한, 철면피의"
INTRIGUING,"호기심을 자아내는, 재미를 자아내는; 매력적인"
MERCURIAL,변덕스런
ALLOY,"합금하다,혼합하다"
TINGE,물들이다
ANTITHETICAL ,"대조법의,정반대의"
FORAGE,(식량) 찾아 헤매다
UNABASHED,"당황하지 않은, 부끄럼없는"
SPONTANEOUS,사전계획 없이 행해진; 충동/즉흥/자발적으로 움직이는
IRK,짜증나게 하다; 화나게 하다
STOLID,"둔감한, 무감한"
OVERBEARING,"횡포한,고압적인,거만한;압도적인"
APHID,진딧물
REAM,"연(종이의 거래단위), 종이체적단위"
DECORUM,"단정함, 예의 바름"
DISLOCATE,"(관절)탈구시키다;위치를 바꾸다,뒤죽박죽으로 만들다, 교란시키다"
IMPLICIT,"암시된, 암묵적인"
LIMELIGHT,주목을 받게 하다
HAPPY,행복한
CAJOLE,감언으로 꼬셔서~하게 하다
FRENZY,"광란, 열광"
PROVOKE,자극하다; 화나게 하다
INTANGIBLE,"만질 수 없는, 비물질적인"
CONVENE,소집하다
CORRELATE,상관관계에 있다; 서로 연관시키다
APHORISM,"금언,격언"
FACILE,"피상적인; 손쉬운, 용이한"
VAUNT,"심하게 자랑하다, 뽐내다"
COWER,두려워 움츠리다
UNPROPITIOUS,"불길한, 불리한"
FAST,"확고한, 고정된; 금식하다; 금식"
ASCENDANCY,"영향력,우세함"
DRACONIAN,"가혹한, 아주 엄격한"
CONDOLENCE,"위로, 조의"
AUGMENT,증가/증대시키다;증가하다
PEACEABLENESS,"온건함,평화로움"
ADROIT,"솜씨 좋은,능숙한"
CREST,닭볏:(산 파도 등의) 최정상
CIRCUMVENT,피하다
TRANSPARENT,"투명한; 이해하기 쉬운, 명쾌한; 속이지 않는, (운영,경영)투명한"
COMPETENCE,"능력, 재능"
BERTH,"(배, 열차) 침대,침상"
SERENE,"고요한, 평온한"
ZEST,"기분 좋은 맛,자극,흥미,관심"
DITHER,"마음이 오락가락하다, 불안, 초조"
VICARIOUS,"대리의, 대행의"
LIONIZE,"명사로 대접해주다, 치켜세우다"
RETREAT,"(군대) 후퇴하다, 철수하다; 철회하다"
THREADBARE,옷이 해어지고 낡은; 진부한
MACULATE,"반점이 있는, 더러워진;반점을 찍다, 더럽히다"
WAX,"커지다,강해지다"
INCONSIDERABLE,"(양)적은,(크기)작은; 사소한"
RECONNOITER,정찰활동을 하다;정보를 얻기 위하여 사전조사를 하다
TANTRUM,"역정, 울화"
RAFFISH,"저속한, 저급한, 자유분방한"
MIRTH,"환희, 유쾌함, 웃음"
RAKISH,"방탕아의; 멋진, 경쾌한, 세련된"
IRREFUTABLE,논박할 수 없는
PEDAGOGUE,선생님;교육자
RENOUNCE,"공식적으로 포기하다, 철회하다, 거부하다"
ABRADE,마모시키다
UNASSUMING,"겸손한, 허세부리지 않는"
PERMANENT,"영구적인,불변하는"
COVERT,"숨겨진, 비밀의, 은연중의"
INCRIMINATE,"죄를 씌우다, 고소하다"
ADORN,장식하다
ASSUAGE,"달래다,만족시키다"
INVIGORATE,"기운나게하다, 격려하다"
MASK,"가면;숨기다, 가리다"
LUXURIOUS,사치스런;호사스런
ADHESIVE,"접착성의,끈적끈적한"
ENDORSE,"승인하다, 지지하다, 보증하다, 배서하다"
CIRCUMSPECT,"신중한, 주의 깊은, 깊이 생각하는, 용의주도한"
TRANSPORTATION,운송
AMBIGUOUS,"여러가지로 해석가능한, 모호한"
AUDIT,"(회계,장부)감사/검사하다"
DISSONANCE,불협화음
SOPHISTICATED,"세련된; 순진하지 않은, 세상 물정에 익숙한; 정교한"
